"","Var1","Freq"
"1","",80
"2","ACADIAN FLYCATCHER",5
"3","ALDER FLYCATCHER",11
"4","ALLEN'S HUMMINGBIRD",1
"5","ALLIGATOR SNAPPING TURTLE",1
"6","AMERICAN ALLIGATOR",19
"7","AMERICAN AVOCET",6
"8","AMERICAN BITTERN",12
"9","AMERICAN BLACK BEAR",1
"10","AMERICAN BLACK DUCK",58
"11","AMERICAN COOT",228
"12","AMERICAN CROW",447
"13","AMERICAN GOLDEN-PLOVER",153
"14","AMERICAN GOLDFINCH",63
"15","AMERICAN KESTREL",4476
"16","AMERICAN OYSTERCATCHER",23
"17","AMERICAN PIPIT",130
"18","AMERICAN REDSTART",40
"19","AMERICAN ROBIN",957
"20","AMERICAN TREE SPARROW",26
"21","AMERICAN WHITE PELICAN",19
"22","AMERICAN WIGEON",70
"23","AMERICAN WOODCOCK",90
"24","ANHINGA",32
"25","ANNA'S HUMMINGBIRD",9
"26","ANTELOPE JACKRABBIT",1
"27","ANTILLEAN NIGHTHAWK",1
"28","ARCTIC TERN",5
"29","ARMADILLO",31
"30","ASH-THROATED FLYCATCHER",4
"31","AUSTRALIAN PELICAN",1
"32","BADGER",5
"33","BAIRD'S SANDPIPER",32
"34","BAIRD'S SPARROW",1
"35","BALD EAGLE",219
"36","BALTIMORE ORIOLE",28
"37","BAND-RUMPED STORM-PETREL",1
"38","BAND-TAILED PIGEON",19
"39","BANK SWALLOW",394
"40","BAR-TAILED GODWIT",1
"41","BARN OWL",1118
"42","BARN SWALLOW",4215
"43","BARRED OWL",25
"44","BARROW'S GOLDENEYE",1
"45","BATS",28
"46","BAY-BREASTED WARBLER",6
"47","BELTED KINGFISHER",11
"48","BEWICK'S WREN",2
"49","BIG BROWN BAT",78
"50","BIG FREE-TAILED BAT",1
"51","BLACK-AND-WHITE WARBLER",26
"52","BLACK-BELLIED PLOVER",130
"53","BLACK-BELLIED WHISTLING-DUCK",6
"54","BLACK-BILLED CUCKOO",5
"55","BLACK-BILLED MAGPIE",12
"56","BLACK-CAPPED CHICKADEE",23
"57","BLACK-CHINNED HUMMINGBIRD",2
"58","BLACK-CROWNED NIGHT-HERON",76
"59","BLACK-FACED BUNTING",1
"60","BLACK-FOOTED ALBATROSS",5
"61","BLACK-HEADED GROSBEAK",6
"62","BLACK-HEADED GULL",7
"63","BLACK-LEGGED KITTIWAKE",3
"64","BLACK-NECKED STILT",10
"65","BLACK-TAILED JACKRABBIT",279
"66","BLACK-TAILED PRAIRIE DOG",49
"67","BLACK-THROATED BLUE WARBLER",19
"68","BLACK-THROATED GRAY WARBLER",2
"69","BLACK-THROATED GREEN WARBLER",13
"70","BLACK-THROATED SPARROW",1
"71","BLACK DRONGO",11
"72","BLACK FRANCOLIN",5
"73","BLACK KITE",3
"74","BLACK NODDY",6
"75","BLACK SKIMMER",11
"76","BLACK SWIFT",3
"77","BLACK TERN",2
"78","BLACK TURNSTONE",1
"79","BLACK VULTURE",163
"80","BLACKBIRD",1281
"81","BLACKBIRDS, MEADOWLARKS, ORIOLES",8
"82","BLACKBURNIAN WARBLER",9
"83","BLACKPOLL WARBLER",54
"84","BLUE-GRAY GNATCATCHER",17
"85","BLUE-HEADED VIREO",9
"86","BLUE-WINGED TEAL",50
"87","BLUE-WINGED WARBLER",1
"88","BLUE GROSBEAK",5
"89","BLUE JAY",27
"90","BOAT-TAILED GRACKLE",25
"91","BOBOLINK",39
"92","BOHEMIAN WAXWING",2
"93","BONAPARTE'S GULL",46
"94","BONIN PETREL",12
"95","BRANDT'S CORMORANT",1
"96","BRANT",36
"97","BRAZILIAN FREE-TAILED BAT",231
"98","BREWER'S BLACKBIRD",60
"99","BREWER'S SPARROW",13
"100","BROAD-WINGED HAWK",29
"101","BROWN-HEADED COWBIRD",219
"102","BROWN NODDY",8
"103","BROWN PELICAN",65
"104","BROWN THRASHER",19
"105","BUDGERIGAR",15
"106","BUFF-BREASTED SANDPIPER",39
"107","BUFFLEHEAD",19
"108","BULL SNAKE",5
"109","BULLOCK'S ORIOLE",7
"110","BURRO",1
"111","BURROWING OWL",185
"112","BUSHTIT",2
"113","CACKLING GOOSE",13
"114","CACTUS WREN",4
"115","CALIFORNIA GULL",172
"116","CALIFORNIA TOWHEE",1
"117","CALLIOPE HUMMINGBIRD",1
"118","CANADA GOOSE",1574
"119","CANADA WARBLER",20
"120","CANIDS",4
"121","CANVASBACK",23
"122","CAPE MAY WARBLER",4
"123","CARIBOU",2
"124","CAROLINA CHICKADEE",2
"125","CAROLINA WREN",7
"126","CARRION CROW",2
"127","CASPIAN TERN",25
"128","CASSIN'S FINCH",1
"129","CASSIN'S SPARROW",3
"130","CASSIN'S VIREO",3
"131","CATS",1
"132","CATTLE",11
"133","CATTLE EGRET",387
"134","CAVE SWALLOW",18
"135","CEDAR WAXWING",188
"136","CHESTNUT-COLLARED LONGSPUR",5
"137","CHESTNUT-SIDED WARBLER",12
"138","CHESTNUT MUNIA",53
"139","CHICKADEES",1
"140","CHICKEN TURTLE",1
"141","CHIMNEY SWIFT",648
"142","CHIPPING SPARROW",62
"143","CHUCK-WILL'S-WIDOW",12
"144","CHUKAR",3
"145","CINNAMON TEAL",5
"146","CLAPPER RAIL",9
"147","CLARK'S GREBE",1
"148","CLAY-COLORED SPARROW",4
"149","CLIFF SWALLOW",1485
"150","COASTAL PLAIN COOTER",3
"151","COLLARED PECCARY",2
"152","COMMON CHAFFINCH",2
"153","COMMON CUCKOO",1
"154","COMMON EIDER",3
"155","COMMON GOLDENEYE",6
"156","COMMON GRACKLE",168
"157","COMMON GRAY FOX",9
"158","COMMON GROUND-DOVE",7
"159","COMMON LOON",32
"160","COMMON MERGANSER",4
"161","COMMON MOORHEN",8
"162","COMMON MYNA",99
"163","COMMON NIGHTHAWK",549
"164","COMMON PAURAQUE",10
"165","COMMON PIPISTRELLE",1
"166","COMMON POORWILL",12
"167","COMMON RAVEN",44
"168","COMMON REDPOLL",2
"169","COMMON SNAPPING TURTLE",28
"170","COMMON SNIPE",10
"171","COMMON SWIFT",8
"172","COMMON TERN",19
"173","COMMON WAXBILL",6
"174","COMMON WOOD-PIGEON",6
"175","COMMON YELLOWTHROAT",85
"176","CONNECTICUT WARBLER",1
"177","COOPER'S HAWK",91
"178","CORDILLERAN FLYCATCHER",2
"179","CORMORANTS",3
"180","COYOTE",498
"181","CRANES",1
"182","CRESTED CARACARA",18
"183","CROW",195
"184","CROWS, RAVENS",2
"185","CROWS, RAVENS, JAYS,MAGPIES",2
"186","CUCKOOS",7
"187","CUCKOOS, ROADRUNNERS, ANIS",1
"188","CURVE-BILLED THRASHER",1
"189","DARK-EYED JUNCO",144
"190","DEER",18
"191","DESERT COTTONTAIL",28
"192","DIAMONDBACK TERRAPIN",43
"193","DICKCISSEL",20
"194","DOMESTIC CAT",31
"195","DOMESTIC DOG",46
"196","DOUBLE-CRESTED CORMORANT",130
"197","DOUBLE-STRIPED THICK-KNEE",1
"198","DOVE",1041
"199","DOWNY WOODPECKER",3
"200","DUCK",814
"201","DUCKS, GEESE, SWANS",149
"202","DUNLIN",75
"203","DUSKY FLYCATCHER",1
"204","EAGLES",8
"205","EARED GREBE",12
"206","EASTERN BLUEBIRD",11
"207","EASTERN BOX TURTLE",11
"208","EASTERN COTTONTAIL",85
"209","EASTERN DIAMONDBACK RATTLESNAKE",1
"210","EASTERN KINGBIRD",45
"211","EASTERN MEADOWLARK",1829
"212","EASTERN MUD TURTLE",1
"213","EASTERN PHOEBE",17
"214","EASTERN PIPISTRELLE",18
"215","EASTERN SCREECH-OWL",5
"216","EASTERN SMALL-FOOTED MYOTIS",1
"217","EASTERN TOWHEE",24
"218","EASTERN WOOD-PEWEE",9
"219","EGRET",330
"220","EMPEROR GOOSE",2
"221","EURASIAN BLACKBIRD",2
"222","EURASIAN BUZZARD",3
"223","EURASIAN COLLARED DOVE",22
"224","EURASIAN COOT",1
"225","EURASIAN CURLEW",1
"226","EURASIAN KESTREL",4
"227","EURASIAN SKYLARK",80
"228","EURASIAN THICK-KNEE",1
"229","EURASIAN WIGEON",1
"230","EUROPEAN GOLDEN-PLOVER",5
"231","EUROPEAN STARLING",3915
"232","EVENING BAT",10
"233","EVENING GROSBEAK",2
"234","FAIRY TERN",3
"235","FALCON",50
"236","FERRUGINOUS HAWK",31
"237","FIELD SPARROW",45
"238","FINCH",140
"239","FLORIDA BONNETED BAT",1
"240","FLORIDA RED-BELLIED COOTER",2
"241","FLORIDA SOFT SHELL TURTLE",10
"242","FLYING FOX",1
"243","FORK-TAILED STORM-PETREL",1
"244","FORSTER'S TERN",12
"245","FOX SPARROW",47
"246","FOX SQUIRREL",1
"247","FOXES",65
"248","FRANKLIN'S GULL",122
"249","FREE-TAILED BATS",59
"250","GADWALL",73
"251","GEESE",368
"252","GLAUCOUS-WINGED GULL",118
"253","GLAUCOUS GULL",19
"254","GLOSSY IBIS",3
"255","GOLDEN-CROWNED KINGLET",24
"256","GOLDEN-CROWNED SPARROW",6
"257","GOLDEN EAGLE",18
"258","GOPHER TORTOISE",17
"259","GRACKLE",147
"260","GRASSHOPPER SPARROW",85
"261","GRAY-CHEEKED THRUSH",22
"262","GRAY-CROWNED ROSY-FINCH",1
"263","GRAY-HEADED CHICKADEE",1
"264","GRAY CATBIRD",124
"265","GRAY FLYCATCHER",3
"266","GRAY FRANCOLIN",3
"267","GRAY HERON",1
"268","GRAY JAY",1
"269","GRAY KINGBIRD",1
"270","GRAY PARTRIDGE",19
"271","GRAY SAC-WINGED BAT",1
"272","GREAT-TAILED GRACKLE",45
"273","GREAT BLACK-BACKED GULL",111
"274","GREAT BLUE HERON",374
"275","GREAT CORMORANT",2
"276","GREAT CRESTED FLYCATCHER",11
"277","GREAT CRESTED GREBE",1
"278","GREAT EGRET",89
"279","GREAT FRIGATEBIRD",11
"280","GREAT GRAY OWL",1
"281","GREAT HORNED OWL",224
"282","GREAT KISKADEE",1
"283","GREATER ROADRUNNER",1
"284","GREATER SAGE-GROUSE",34
"285","GREATER SCAUP",12
"286","GREATER WHITE-FRONTED GOOSE",50
"287","GREATER YELLOWLEGS",10
"288","GREBES",11
"289","GREEN-TAILED TOWHEE",5
"290","GREEN-WINGED TEAL",68
"291","GREEN HERON",20
"292","GREEN IGUANA",11
"293","GROUSE",5
"294","GULL",6580
"295","GULL-BILLED TERN",4
"296","GULLS,TERNS, KITTIWAKES",27
"297","GUNNISON'S PRAIRIE DOG",15
"298","GYRFALCON",2
"299","HAIRY WOODPECKER",3
"300","HAMMOND'S FLYCATCHER",6
"301","HARES",7
"302","HARLEQUIN DUCK",1
"303","HARRIS'S HAWK",2
"304","HARRIS'S SPARROW",5
"305","HAWAIIAN DUCK",14
"306","HAWAIIAN GOOSE",2
"307","HAWAIIAN HAWK",2
"308","HAWK",1313
"309","HEERMANN'S GULL",1
"310","HELMETED GUINEAFOWL",1
"311","HERMIT THRUSH",162
"312","HERMIT WARBLER",1
"313","HERONS",51
"314","HERONS, EGRETS, BITTERNS",5
"315","HERRING GULL",1199
"316","HOARY BAT",62
"317","HOARY REDPOLL",2
"318","HOODED CROW",1
"319","HOODED MERGANSER",10
"320","HOODED ORIOLE",3
"321","HOODED WARBLER",4
"322","HORNED GREBE",10
"323","HORNED LARK",3952
"324","HORSE",3
"325","HOUSE FINCH",121
"326","HOUSE SPARROW",231
"327","HOUSE WREN",35
"328","HUDSONIAN GODWIT",5
"329","HUMMINGBIRDS",2
"330","IBISES",5
"331","INCA DOVE",17
"332","INDIANA BAT",2
"333","INDIGO BUNTING",28
"334","INTERMEDIATE EGRET",1
"335","ISLAND CANARY",1
"336","ISLAND TURTLE-DOVE",7
"337","JAMAICAN FRUIT BAT",3
"338","JAPANESE WHITE-EYE",2
"339","JAVA SPARROW",3
"340","KENTUCKY WARBLER",14
"341","KILLDEER",4562
"342","KIT FOX",4
"343","KITES, EAGLES, HAWKS",1
"344","LAGOMORPHS (RABBITS, HARES)",1
"345","LAPLAND LONGSPUR",64
"346","LAPPET-FACED VULTURE",1
"347","LARK BUNTING",125
"348","LARK SPARROW",25
"349","LARKS",2
"350","LAUGHING GULL",443
"351","LAYSAN ALBATROSS",37
"352","LAZULI BUNTING",4
"353","LE CONTE'S SPARROW",4
"354","LEAST BITTERN",1
"355","LEAST FLYCATCHER",10
"356","LEAST SANDPIPER",135
"357","LEAST TERN",27
"358","LESSER BLACK-BACKED GULL",6
"359","LESSER GOLDFINCH",4
"360","LESSER NIGHTHAWK",12
"361","LESSER SCAUP",53
"362","LESSER YELLOWLEGS",19
"363","LINCOLN'S SPARROW",49
"364","LITTLE BLUE HERON",9
"365","LITTLE BROWN BAT",110
"366","LITTLE OWL",1
"367","LITTLE TERN",2
"368","LOGGERHEAD SHRIKE",23
"369","LONG-BILLED CURLEW",7
"370","LONG-BILLED DOWITCHER",9
"371","LONG-BILLED THRASHER",1
"372","LONG-EARED MYOTIS",1
"373","LONG-EARED OWL",16
"374","LONG-LEGGED MYOTIS",1
"375","LONG-TAILED DUCK",8
"376","LONG-TAILED JAEGER",4
"377","LOONS",3
"378","MACGILLIVRAY'S WARBLER",6
"379","MAGNIFICENT FRIGATEBIRD",8
"380","MAGNOLIA WARBLER",31
"381","MAGPIES",1
"382","MALLARD",877
"383","MARBLED GODWIT",3
"384","MARSH WREN",20
"385","MCCOWN'S LONGSPUR",4
"386","MCKAY'S BUNTING",1
"387","MEADOW PIPIT",1
"388","MEADOWLARK",496
"389","MEGABATS",13
"390","MERLIN",95
"391","MEW GULL",66
"392","MICROBAT",720
"393","MINK",5
"394","MISSISSIPPI KITE",8
"395","MOCKINGBIRDS",2
"396","MONK PARAKEET",4
"397","MOOSE",5
"398","MOTTLED DUCK",26
"399","MOUNTAIN BLUEBIRD",29
"400","MOUNTAIN CHICKADEE",1
"401","MOURNING DOVE",7653
"402","MOURNING WARBLER",8
"403","MULE DEER",78
"404","MUNIAS",122
"405","MUSCOVY DUCK",4
"406","MUSKRAT",27
"407","MUTE SWAN",9
"408","NACUNDA NIGHTHAWK",1
"409","NANDAY PARAKEET",1
"410","NASHVILLE WARBLER",27
"411","NELSON'S SHARP-TAILED SPARROW",4
"412","NEW WORLD VULTURES",323
"413","NIGHTJARS",10
"414","NORTH AMERICAN BEAVER",2
"415","NORTH AMERICAN PORCUPINE",15
"416","NORTHERN BOBWHITE",13
"417","NORTHERN CARDINAL",13
"418","NORTHERN FLICKER",99
"419","NORTHERN FULMAR",1
"420","NORTHERN GOSHAWK",3
"421","NORTHERN HARRIER",119
"422","NORTHERN HAWK-OWL",1
"423","NORTHERN LAPWING",1
"424","NORTHERN MOCKINGBIRD",105
"425","NORTHERN PARULA",14
"426","NORTHERN PINTAIL",148
"427","NORTHERN PYGMY-OWL",1
"428","NORTHERN ROUGH-WINGED SWALLOW",67
"429","NORTHERN SAW-WHET OWL",7
"430","NORTHERN SHOVELER",77
"431","NORTHERN SHRIKE",1
"432","NORTHERN WATER SNAKE",2
"433","NORTHERN WATERTHRUSH",33
"434","NORTHERN YELLOW BAT",3
"435","NORTHWESTERN CROW",7
"436","OLD WORLD VULTURES",2
"437","OLIVE-THROATED PARAKEET",1
"438","ORANGE-CROWNED WARBLER",25
"439","ORCHARD ORIOLE",3
"440","ORIOLES",8
"441","OSPREY",327
"442","OVENBIRD",67
"443","OWLS",311
"444","PACIFIC-SLOPE FLYCATCHER",17
"445","PACIFIC GOLDEN-PLOVER",909
"446","PACIFIC LOON",1
"447","PAINTED BUNTING",4
"448","PAINTED TURTLE",24
"449","PALM WARBLER",38
"450","PARASITIC JAEGER",2
"451","PARROTS",3
"452","PECTORAL SANDPIPER",37
"453","PELAGIC CORMORANT",2
"454","PELICANS",5
"455","PERCHING BIRDS",867
"456","PERCHING BIRDS (Z)",40
"457","PEREGRINE FALCON",440
"458","PHILADELPHIA VIREO",4
"459","PHILIPPINE DRONGO-CUCKOO",1
"460","PHILIPPINE DUCK",1
"461","PICAZURO PIGEON",1
"462","PIED-BILLED GREBE",37
"463","PIGEON GUILLEMOT",1
"464","PIGEONS",16
"465","PIGEONS, DOVES",55
"466","PINE GROSBEAK",1
"467","PINE SISKIN",21
"468","PINE WARBLER",19
"469","PIPING PLOVER",1
"470","PIPITS",2
"471","PLOVERS",65
"472","PLOVERS, LAPWINGS",10
"473","POCKETED FREE-TAILED BAT",2
"474","POND SLIDER",3
"475","PRAIRIE DOGS",1
"476","PRAIRIE FALCON",25
"477","PRAIRIE WARBLER",6
"478","PRONGHORN",9
"479","PROTHONOTARY WARBLER",2
"480","PTARMIGANS",3
"481","PUFFINS",1
"482","PURPLE FINCH",4
"483","PURPLE GALLINULE",5
"484","PURPLE MARTIN",188
"485","QUAILS",10
"486","RABBIT",104
"487","RACCOON",106
"488","RAILS",7
"489","RAPTORS: HAWKS, EAGLES, VULTURES, KITES, OSPREY, F",43
"490","RAVENS",1
"491","RED-BELLIED WOODPECKER",2
"492","RED-BREASTED MERGANSER",8
"493","RED-BREASTED SAPSUCKER",2
"494","RED-CRESTED CARDINAL",6
"495","RED-EYED VIREO",111
"496","RED-FOOTED BOOBY",1
"497","RED-HEADED WOODPECKER",1
"498","RED-LEGGED KITTIWAKE",1
"499","RED-LEGGED PARTRIDGE",1
"500","RED-NAPED SAPSUCKER",4
"501","RED-NECKED GREBE",3
"502","RED-NECKED PHALAROPE",11
"503","RED-SHOULDERED HAWK",54
"504","RED-TAILED HAWK",2254
"505","RED-TAILED TROPICBIRD",3
"506","RED-THROATED LOON",6
"507","RED-VENTED BULBUL",4
"508","RED-WINGED BLACKBIRD",342
"509","RED AVADAVAT",7
"510","RED BAT",127
"511","RED CROSSBILL",3
"512","RED FOX",153
"513","RED KNOT",4
"514","RED PHALAROPE",1
"515","REDHEAD",7
"516","REDWING",1
"517","RING-BILLED GULL",1531
"518","RING-NECKED DUCK",26
"519","RING-NECKED PHEASANT",85
"520","RINGTAIL",1
"521","RIVER OTTER",2
"522","ROCK PIGEON",2893
"523","ROCK PTARMIGAN",1
"524","ROCK SANDPIPER",1
"525","ROCK WREN",2
"526","ROOK",1
"527","ROSE-BREASTED GROSBEAK",10
"528","ROSEATE SPOONBILL",2
"529","ROSEATE TERN",1
"530","ROUGH-LEGGED HAWK",90
"531","ROYAL TERN",5
"532","RUBY-CROWNED KINGLET",77
"533","RUBY-THROATED HUMMINGBIRD",27
"534","RUDDY DUCK",62
"535","RUDDY GROUND-DOVE",1
"536","RUDDY TURNSTONE",19
"537","RUFFED GROUSE",1
"538","RUFOUS HUMMINGBIRD",8
"539","RUSTY BLACKBIRD",4
"540","SAGE SPARROW",10
"541","SAGE THRASHER",3
"542","SANDERLING",25
"543","SANDHILL CRANE",130
"544","SANDPIPER",276
"545","SANDWICH TERN",2
"546","SAVANNAH SPARROW",488
"547","SAY'S PHOEBE",7
"548","SCALED QUAIL",5
"549","SCALY-BREASTED MUNIA",84
"550","SCARLET TANAGER",21
"551","SCISSOR-TAILED FLYCATCHER",212
"552","SCOPS, SCREECH OWLS",1
"553","SEDGE WREN",3
"554","SEMINOLE BAT",5
"555","SEMIPALMATED PLOVER",83
"556","SEMIPALMATED SANDPIPER",74
"557","SHARP-SHINNED HAWK",28
"558","SHARP-TAILED GROUSE",8
"559","SHEARWATERS",1
"560","SHOREBIRD",32
"561","SHORT-BILLED DOWITCHER",11
"562","SHORT-EARED OWL",455
"563","SILVER-HAIRED BAT",52
"564","SKUNK",56
"565","SMALL INDIAN MONGOOSE",3
"566","SMITH'S LONGSPUR",10
"567","SNAKES",4
"568","SNOW BUNTING",292
"569","SNOW GOOSE",129
"570","SNOWY EGRET",32
"571","SNOWY OWL",191
"572","SNOWY PLOVER",3
"573","SOLITARY SANDPIPER",6
"574","SONG SPARROW",134
"575","SONG THRUSH",1
"576","SOOTY TERN",4
"577","SORA",47
"578","SOUTH AMERICAN SNIPE",1
"579","SOUTHERN LAPWING",1
"580","SPARROW",3152
"581","SPOTTED DOVE",193
"582","SPOTTED SANDPIPER",27
"583","SPOTTED TOWHEE",6
"584","SPRAGUE'S PIPIT",6
"585","SPRUCE GROUSE",1
"586","STARLINGS",43
"587","STILT SANDPIPER",1
"588","STRIPED MUD TURTLE",1
"589","STRIPED SKUNK",313
"590","SULPHUR-BELLIED FLYCATCHER",1
"591","SUMMER TANAGER",4
"592","SURF SCOTER",1
"593","SWAINSON'S HAWK",147
"594","SWAINSON'S THRUSH",162
"595","SWALLOW",1053
"596","SWALLOW-TAILED KITE",5
"597","SWAMP SPARROW",53
"598","SWANS",2
"599","SWIFTS",17
"600","SWINE (PIGS)",2
"601","TANAGERS",2
"602","TENNESSEE WARBLER",20
"603","TERNS",49
"604","THAYER'S GULL",3
"605","THRASHERS, MOCKINGBIRDS, CATBIRDS",7
"606","THRUSHES",60
"607","TOWHEES",1
"608","TOWNSEND'S SHEARWATER",11
"609","TOWNSEND'S WARBLER",18
"610","TREE SWALLOW",656
"611","TRICOLORED BLACKBIRD",1
"612","TRICOLORED HERON",2
"613","TROPICAL MOCKINGBIRD",1
"614","TROPICBIRDS",11
"615","TRUMPETER SWAN",2
"616","TUFTED TITMOUSE",1
"617","TUNDRA SWAN",15
"618","TURKEY VULTURE",662
"619","TURTLE",66
"620","TYRANT FLYCATCHERS",36
"621","UNKNOWN BIRD",6400
"622","UNKNOWN BIRD OR BAT",70
"623","UNKNOWN LARGE BIRD",2789
"624","UNKNOWN MEDIUM BIRD",38531
"625","UNKNOWN SMALL BIRD",32981
"626","UNKNOWN TERRESTRIAL MAMMAL",25
"627","UPLAND SANDPIPER",247
"628","VARIED THRUSH",48
"629","VAUX'S SWIFT",46
"630","VEERY",19
"631","VESPER BAT",74
"632","VESPER SPARROW",55
"633","VIOLET-GREEN SWALLOW",24
"634","VIREOS",5
"635","VIRGINIA OPOSSUM",199
"636","VIRGINIA RAIL",12
"637","WAPITI (ELK)",11
"638","WARBLING VIREO",26
"639","WATER MOCCASIN",1
"640","WAXBILLS, MANNIKINS, PARROTFINCHES",3
"641","WEDGE-TAILED SHEARWATER",13
"642","WESTERN BLUEBIRD",4
"643","WESTERN GREBE",35
"644","WESTERN GULL",126
"645","WESTERN KINGBIRD",254
"646","WESTERN MASTIFF BAT",2
"647","WESTERN MEADOWLARK",1072
"648","WESTERN SANDPIPER",122
"649","WESTERN SCREECH-OWL",2
"650","WESTERN TANAGER",16
"651","WESTERN WOOD-PEWEE",4
"652","WESTERN YELLOW BAT",1
"653","WHIMBREL",18
"654","WHIP-POOR-WILL",9
"655","WHITE-BELLIED SEA-EAGLE",1
"656","WHITE-BREASTED NUTHATCH",1
"657","WHITE-CRESTED ELAENIA",1
"658","WHITE-CROWNED SPARROW",73
"659","WHITE-EYED VIREO",17
"660","WHITE-FACED IBIS",17
"661","WHITE-NOSED COATI",1
"662","WHITE-RUMPED SANDPIPER",9
"663","WHITE-TAILED DEER",1021
"664","WHITE-TAILED HAWK",3
"665","WHITE-TAILED JACKRABBIT",45
"666","WHITE-TAILED KITE",40
"667","WHITE-TAILED PRAIRIE DOG",5
"668","WHITE-TAILED TROPICBIRD",13
"669","WHITE-THROATED MUNIA",5
"670","WHITE-THROATED SPARROW",180
"671","WHITE-THROATED SWIFT",45
"672","WHITE-WINGED CROSSBILL",1
"673","WHITE-WINGED DOVE",65
"674","WHITE-WINGED SCOTER",3
"675","WHITE-WINGED TERN",2
"676","WHITE IBIS",22
"677","WHITE STORK",1
"678","WHITE TERN",7
"679","WHOOPING CRANE",1
"680","WILD TURKEY",74
"681","WILLET",6
"682","WILLOW FLYCATCHER",4
"683","WILLOW PTARMIGAN",6
"684","WILSON'S PHALAROPE",14
"685","WILSON'S PLOVER",3
"686","WILSON'S SNIPE",87
"687","WILSON'S WARBLER",55
"688","WINTER WREN",8
"689","WOOD DUCK",51
"690","WOOD STORK",17
"691","WOOD THRUSH",32
"692","WOOD WARBLER",84
"693","WOODCHUCK",148
"694","WOODPECKERS",11
"695","WOODPECKERS, PICULETS",1
"696","WORM-EATING WARBLER",3
"697","WREN",50
"698","WRENTIT",1
"699","YELLOW-BELLIED FLYCATCHER",10
"700","YELLOW-BELLIED MARMOT",1
"701","YELLOW-BELLIED SAPSUCKER",58
"702","YELLOW-BILLED CUCKOO",43
"703","YELLOW-BILLED MAGPIE",9
"704","YELLOW-BREASTED CHAT",12
"705","YELLOW-CROWNED NIGHT-HERON",31
"706","YELLOW-HEADED BLACKBIRD",14
"707","YELLOW-HEADED CARCARA",1
"708","YELLOW-LEGGED GULL",3
"709","YELLOW-RUMPED WARBLER",175
"710","YELLOW-THROATED VIREO",2
"711","YELLOW-THROATED WARBLER",19
"712","YELLOW BITTERN",113
"713","YELLOW WARBLER",50
"714","YUMA MYOTIS",1
"715","ZEBRA DOVE",290
"716","ZENAIDA DOVE",4
